FDRA,Station 1,Station 2,Station 3,Index,Fuel_Model,fd_chi2_ffp,fd_chi2_py,fd_chi2_diff,fd_pvalue_ffp,fd_pvalue_py,fd_pvalue_diff,fd_r2_ffp,fd_r2_py,fd_r2_diff,mfd_chi2_ffp,mfd_chi2_py,mfd_chi2_diff,mfd_pvalue_ffp,mfd_pvalue_py,mfd_pvalue_diff,mfd_r2_ffp,mfd_r2_py,mfd_r2_diff,lfd_chi2_ffp,lfd_chi2_py,lfd_chi2_diff,lfd_pvalue_ffp,lfd_pvalue_py,lfd_pvalue_diff,lfd_r2_ffp,lfd_r2_py,lfd_r2_diff,lfd_Days_ffp,lfd_Days_py,lfd_Days_diff,lfd_Total_ffp,lfd_Total_py,lfd_Total_diff
Baldy,352107,352712.0,,BI,Y,4.18,30.0,25.82,0.8405,0.0002,-0.8403,0.69,0.55,-0.1399999999999999,5.78,30.0,24.22,0.6718,0.0002,-0.6716,0.32,0.551,0.23100000000000004,13.7,30.0,16.3,0.0331,0.0002,-0.0329,0.09,0.257,0.167,11,11,0,150,2549,2399
Baldy,352109,352207.0,,BI,Y,8.15,30.0,21.85,0.4194,0.0002,-0.4192,0.52,0.481,-0.039000000000000035,9.49,30.0,20.509999999999998,0.3024,0.0002,-0.3022,0.14,0.589,0.44899999999999995,10.53,30.0,19.47,0.0615,0.0002,-0.0613,0.45,0.606,0.15599999999999997,11,11,0,150,2549,2399
Baldy,352109,352208.0,,BI,Y,7.38,30.0,22.62,0.4958,0.0002,-0.49560000000000004,0.73,0.666,-0.06399999999999995,7.71,30.0,22.29,0.4622,0.0002,-0.462,0.47,0.651,0.18100000000000005,8.5,30.0,21.5,0.1306,0.0002,-0.1304,0.49,0.618,0.128,11,11,0,150,2549,2399
Baldy,352109,352208.0,,BI,Y,6.36,30.0,23.64,0.6067,0.0002,-0.6065,0.65,0.666,0.016000000000000014,14.56,30.0,15.44,0.0682,0.0002,-0.06799999999999999,0.0,0.651,0.651,10.04,30.0,19.96,0.074,0.0002,-0.07379999999999999,0.35,0.618,0.268,11,11,0,150,2549,2399
Baldy,352109,352327.0,,BI,Y,5.23,30.0,24.77,0.7331,0.0002,-0.7329,0.65,0.673,0.02300000000000002,13.84,30.0,16.16,0.0861,0.0002,-0.08589999999999999,0.3,0.562,0.26200000000000007,10.57,30.0,19.43,0.1028,0.0002,-0.1026,0.39,0.644,0.254,11,11,0,150,2550,2400
Baldy,352109,352329.0,,BI,Y,9.96,30.0,20.04,0.2682,0.0002,-0.268,0.61,0.483,-0.127,8.06,30.0,21.939999999999998,0.4272,0.0002,-0.42700000000000005,0.13,0.303,0.173,5.9,30.0,24.1,0.3165,0.0002,-0.3163,0.45,0.605,0.15499999999999997,11,11,0,150,2550,2400
Baldy,352109,352332.0,,BI,Y,4.84,30.0,25.16,0.7743,0.0002,-0.7741,0.68,0.638,-0.04200000000000004,10.7,30.0,19.3,0.2193,0.0002,-0.2191,0.09,0.272,0.18200000000000002,5.5,30.0,24.5,0.358,0.0002,-0.3578,0.46,0.403,-0.056999999999999995,11,11,0,150,2550,2400
Baldy,352109,352701.0,,BI,Y,8.27,30.0,21.73,0.4079,0.0002,-0.4077,0.68,0.587,-0.09300000000000008,10.14,30.0,19.86,0.2553,0.0002,-0.25510000000000005,0.4,0.618,0.21799999999999997,4.59,30.0,25.41,0.4683,0.0002,-0.4681,0.61,0.64,0.030000000000000027,11,11,0,150,2549,2399
Baldy,352109,352712.0,,BI,Y,3.26,30.0,26.740000000000002,0.9168,0.0002,-0.9166,0.81,0.699,-0.1110000000000001,12.3,30.0,17.7,0.1382,0.0002,-0.13799999999999998,0.34,0.608,0.26799999999999996,13.16,30.0,16.84,0.0405,0.0002,-0.0403,0.22,0.474,0.254,11,11,0,150,2548,2398
Baldy,352109,353428.0,,BI,Y,3.1,30.0,26.9,0.9278,0.0002,-0.9276,0.8,0.559,-0.241,8.06,30.0,21.939999999999998,0.4274,0.0002,-0.4272,0.33,0.468,0.138,10.0,30.0,20.0,0.0752,0.0002,-0.075,0.26,0.43,0.16999999999999998,11,11,0,150,2549,2399
Baldy,352208,352327.0,,BI,Y,7.39,30.0,22.61,0.4953,0.0002,-0.49510000000000004,0.74,0.653,-0.08699999999999997,10.64,30.0,19.36,0.2231,0.0002,-0.2229,0.25,0.448,0.198,18.55,30.0,11.45,0.005,0.0002,-0.0048000000000000004,0.29,0.478,0.188,11,11,0,150,2550,2400
Baldy,352208,352329.0,,BI,Y,12.01,30.0,17.990000000000002,0.1509,0.0002,-0.1507,0.65,0.64,-0.010000000000000009,13.29,30.0,16.71,0.1023,0.0002,-0.1021,0.0,0.254,0.254,6.64,30.0,23.36,0.3551,0.0002,-0.35490000000000005,0.46,0.599,0.13899999999999996,11,11,0,150,2550,2400
Baldy,352208,352332.0,,BI,Y,11.31,30.0,18.689999999999998,0.1848,0.0002,-0.1846,0.63,0.441,-0.189,13.87,30.0,16.130000000000003,0.0853,0.0002,-0.0851,0.0,0.13,0.13,10.61,30.0,19.39,0.1013,0.0002,-0.1011,0.36,0.465,0.10500000000000004,11,11,0,150,2550,2400
Baldy,352208,352701.0,,BI,Y,13.61,30.0,16.39,0.0925,0.0002,-0.0923,0.69,0.576,-0.11399999999999999,12.9,30.0,17.1,0.1155,0.0002,-0.1153,0.31,0.66,0.35000000000000003,12.55,30.0,17.45,0.0507,0.0002,-0.0505,0.41,0.564,0.15399999999999997,11,11,0,150,2549,2399
